StudentID,CohortTerm_x,RegistrationDate,Gender,BirthMonth,HSDip,HSDipYr,HSGPAUnwtd,HSGPAWtd,FirstGen,DualHSSummerEnroll,EnrollmentStatus,NumColCredAttemptTransfer,NumColCredAcceptTransfer,CumLoanAtEntry,HighDeg,MathPlacement,EngPlacement,GatewayMathStatus,GatewayEnglishStatus,cohort term,Adjusted Gross Income,Parent Adjusted Gross Income,CohortTerm_y,Term,CompleteDevMath,CompleteDevEnglish,Major1,Major2,Complete1,Complete2,CompleteCIP1,CompleteCIP2,TransferIntent,DegreeTypeSought,TermGPA,CumGPA,Marital Status_Divorced,Marital Status_Married,Marital Status_Separated,Marital Status_Single,Father's Highest Grade Level_College,Father's Highest Grade Level_High School,Father's Highest Grade Level_Middle School,Father's Highest Grade Level_Unknown,Mother's Highest Grade Level_College,Mother's Highest Grade Level_High School,Mother's Highest Grade Level_Middle School,Mother's Highest Grade Level_Unknown,Housing_Off Campus,Housing_On Campus Housing,Housing_With Parent,Race
315475,1,20120822,1,12,1,-1,-1.0,-1,-1,0,1,-2.0,-2.0,-2,0,1,0,0,0,1,14115.0,0.0,1,6,0,-2,0.0,-1.0,0,0,-2.0,-2,-1,6,1.5,1.52,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1
344425,1,20150622,2,1,1,2015,2.6,-1,-1,0,1,-2.0,-2.0,-2,0,1,1,0,0,1,0.0,14405.0,1,3,0,1,26.0101,-1.0,0,0,-2.0,-2,-1,6,1.4,1.93,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,1
343079,3,20140124,2,8,-1,-1,-1.0,-1,-1,0,1,-2.0,-2.0,-2,0,-1,-1,0,0,3,0.0,15000.0,3,3,-1,-1,-1.0,-1.0,0,0,-2.0,-2,-1,6,2.7,0.0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,1
306561,1,20120413,1,6,1,2012,2.8,-1,-1,0,1,-2.0,-2.0,-2,0,0,1,1,0,1,1031.0,69163.0,1,3,-2,0,0.0,-1.0,0,0,-2.0,-2,-1,6,0.0,0.0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,1
276141,3,20140117,1,8,1,2007,2.1,-1,-1,0,1,-2.0,-2.0,-2,0,1,1,0,0,3,7880.0,0.0,3,6,0,0,0.0,-1.0,0,0,-2.0,-2,-1,6,2.0,2.0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,4
328051,1,20140521,1,9,1,2014,-1.0,-1,-1,0,1,-2.0,-2.0,-2,0,1,1,0,1,1,0.0,16538.0,1,3,0,0,0.0,-1.0,0,0,-2.0,-2,-1,6,3.68,3.69,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1
355846,1,20160620,1,7,1,2016,2.9,-1,-1,0,1,-2.0,-2.0,-2,0,0,0,0,1,1,0.0,60592.0,1,3,-2,-2,26.0101,-1.0,0,0,-2.0,-2,-1,6,2.23,2.78,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1
309686,1,20120709,2,1,1,2012,3.7,-1,-1,0,1,-2.0,-2.0,-2,0,1,1,0,0,1,0.0,69963.0,1,6,0,0,0.0,-1.0,0,0,-2.0,-2,-1,6,3.3,3.27,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,6
326073,1,20140616,2,10,1,2014,-1.0,-1,-1,0,1,-2.0,-2.0,-2,0,1,1,0,0,1,3171.0,39897.0,1,6,0,0,45.1101,-1.0,0,0,-2.0,-2,-1,6,2.7,2.92,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,4
303632,3,20120109,1,1,1,2011,2.63,-1,-1,0,1,-2.0,-2.0,-2,0,1,1,0,0,3,0.0,32179.0,3,3,1,1,50.0901,-1.0,0,0,-2.0,-2,-1,6,0.0,0.0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1
354147,1,20160412,1,9,1,2016,3.6,-1,-1,0,1,-2.0,-2.0,-2,0,1,0,0,1,1,3679.0,53058.0,1,1,1,-2,43.0203,-1.0,0,0,-2.0,-2,-1,6,0.0,0.0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,6
353101,3,20160117,2,7,1,-1,-1.0,-1,-1,0,1,-2.0,-2.0,-2,0,-1,-1,0,0,3,0.0,15000.0,3,3,-1,-1,-1.0,-1.0,0,0,-2.0,-2,-1,6,4.0,4.0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,6
328656,1,20140527,1,1,1,2014,-1.0,-1,-1,0,1,-2.0,-2.0,-2,0,1,1,1,0,1,6648.0,0.0,1,3,0,1,52.0301,-1.0,0,0,-2.0,-2,-1,6,3.58,3.13,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,1
318501,1,20130718,2,10,1,2013,2.7,-1,-1,0,1,-2.0,-2.0,-2,0,1,0,0,1,1,0.0,0.0,1,3,0,-2,42.0101,-1.0,0,0,-2.0,-2,-1,6,2.66,2.74,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,3
353161,1,20160504,2,6,1,-1,3.43,-1,-1,0,1,-2.0,-2.0,-2,0,0,0,1,1,1,0.0,13187.0,1,3,-2,-2,26.0101,-1.0,0,0,-2.0,-2,-1,6,2.2,2.5,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1
314375,1,20120717,2,7,1,2012,3.2,-1,-1,0,1,-2.0,-2.0,-2,0,1,1,0,0,1,0.0,76365.0,1,3,0,0,13.1209,-1.0,0,0,-2.0,-2,-1,6,0.0,0.97,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,1
316749,1,20130708,2,9,1,2013,3.6,-1,-1,0,1,-2.0,-2.0,-2,0,1,1,0,0,1,6398.0,0.0,1,6,0,0,43.0199,-1.0,0,0,-2.0,-2,-1,6,3.7,3.39,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1
314713,3,20140123,2,1,1,-1,-1.0,-1,-1,0,1,-2.0,-2.0,-2,0,-1,-1,1,0,3,0.0,15000.0,3,3,-1,-1,0.0,-1.0,0,0,-2.0,-2,-1,6,4.0,4.0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,6
332173,1,20140716,1,7,1,2014,3.0,-1,-1,0,1,-2.0,-2.0,-2,0,1,1,0,0,1,3000.0,17420.0,1,3,0,0,27.0101,-1.0,0,0,-2.0,-2,-1,6,3.16,3.48,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,1
327714,1,20140408,1,5,1,2014,2.58,-1,-1,0,1,-2.0,-2.0,-2,0,1,0,0,1,1,0.0,395963.0,1,3,0,-2,43.0399,-1.0,0,0,-2.0,-2,-1,6,1.1,2.98,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,6
350609,1,20160512,2,1,1,2016,3.2,-1,-1,0,1,-2.0,-2.0,-2,0,1,0,0,1,1,0.0,40885.0,1,6,0,-2,26.0101,-1.0,0,0,-2.0,-2,-1,6,0.83,3.18,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,1
330025,1,20140616,2,8,1,2014,-1.0,-1,-1,0,1,-2.0,-2.0,-2,0,1,1,0,1,1,0.0,0.0,1,1,1,0,0.0,-1.0,0,0,-2.0,-2,-1,6,0.0,0.0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,1
351461,1,20160412,2,1,1,-1,3.2,-1,-1,0,1,-2.0,-2.0,-2,0,1,0,1,0,1,3488.0,19634.0,1,3,0,-2,26.0101,-1.0,0,0,-2.0,-2,-1,6,3.58,2.91,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,6
327983,1,20140616,1,1,1,2014,-1.0,-1,-1,0,1,-2.0,-2.0,-2,0,1,1,0,1,1,0.0,22123.0,1,3,1,0,52.0201,-1.0,0,0,-2.0,-2,-1,6,0.43,1.95,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,1
344083,1,20150518,2,9,1,2015,2.7,-1,-1,0,1,-2.0,-2.0,-2,0,1,0,0,1,1,125.0,43232.0,1,3,0,-2,52.0201,-1.0,0,0,-2.0,-2,-1,6,2.68,2.06,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,1
344280,3,20150116,1,10,1,-1,-1.0,-1,-1,0,1,-2.0,-2.0,-2,0,-1,-1,0,0,3,0.0,15000.0,3,3,-1,-1,0.0,-1.0,0,0,-2.0,-2,-1,6,4.0,4.0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,1
313580,1,20120612,2,8,1,2012,2.4,-1,-1,0,1,-2.0,-2.0,-2,0,1,1,0,0,1,0.0,19255.0,1,6,0,0,26.0101,-1.0,0,0,-2.0,-2,-1,6,2.0,2.01,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,1
308898,1,20120820,1,2,1,-1,2.0,-1,-1,0,1,-2.0,-2.0,-2,0,0,0,1,1,1,0.0,16812.0,1,3,-2,-2,43.0199,-1.0,0,0,-2.0,-2,-1,6,1.0,0.3,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,6
344185,1,20150622,1,7,1,-1,2.6,-1,-1,0,1,-2.0,-2.0,-2,0,1,0,0,1,1,6865.0,41673.0,1,3,0,-2,52.0201,-1.0,0,0,-2.0,-2,-1,6,2.0,2.35,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1
355848,1,20160629,2,9,1,2016,2.48,-1,-1,0,1,-2.0,-2.0,-2,0,1,0,1,1,1,0.0,35390.0,1,3,0,-2,0.0,-1.0,0,0,-2.0,-2,-1,6,3.28,3.26,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,1
329242,1,20140602,1,12,1,2014,2.5,-1,-1,0,1,-2.0,-2.0,-2,0,1,1,0,0,1,0.0,79052.0,1,3,0,0,52.1401,-1.0,0,0,-2.0,-2,-1,6,2.9,2.82,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,1
345709,1,20150529,1,1,1,-1,2.63,-1,-1,0,1,-2.0,-2.0,-2,0,1,0,0,1,1,0.0,37307.0,1,3,0,-2,42.0101,-1.0,0,0,-2.0,-2,-1,6,1.23,1.92,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,4
326649,1,20140508,2,8,1,2014,-1.0,-1,-1,0,1,-2.0,-2.0,-2,0,0,1,1,0,1,0.0,65804.0,1,6,-2,0,42.0101,-1.0,0,0,-2.0,-2,-1,6,3.7,2.41,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,1
263670,3,20150108,1,1,2,-1,-1.0,-1,-1,0,1,-2.0,-2.0,-2,0,1,1,0,1,3,13635.0,0.0,3,3,0,0,0.0,-1.0,0,0,-2.0,-2,-1,6,0.0,0.0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1
349998,1,20160711,1,5,1,2016,2.5,-1,-1,0,1,-2.0,-2.0,-2,0,1,0,0,1,1,0.0,17463.0,1,3,0,-2,11.0101,-1.0,0,0,-2.0,-2,-1,6,2.5,2.47,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,4
349026,3,20151027,1,5,1,-1,2.16,-1,-1,0,1,-2.0,-2.0,-2,0,1,1,0,1,3,15134.0,0.0,3,3,1,1,52.0201,-1.0,0,0,-2.0,-2,-1,6,0.0,0.0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,1
319642,1,20130419,1,4,1,2010,3.0,-1,-1,0,1,-2.0,-2.0,-2,0,1,1,0,0,1,2520.0,14291.0,1,3,1,1,11.0101,-1.0,0,0,-2.0,-2,-1,6,0.0,0.0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,3
358321,1,20160728,2,12,1,-1,3.69,-1,-1,0,1,-2.0,-2.0,-2,0,1,0,1,1,1,0.0,0.0,1,3,0,-2,42.0101,-1.0,0,0,-2.0,-2,-1,6,2.65,3.14,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,1
308165,1,20120627,2,5,1,2012,-1.0,-1,-1,0,1,-2.0,-2.0,-2,0,1,1,1,1,1,6848.0,19765.0,1,6,0,0,43.0399,27.0101,0,0,-2.0,-2,-1,6,4.0,3.51,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,1
353494,1,20160630,1,11,1,2016,2.82,-1,-1,0,1,-2.0,-2.0,-2,0,1,0,1,1,1,0.0,5923.0,1,3,0,-2,42.0101,-1.0,0,0,-2.0,-2,-1,6,3.55,3.61,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,7
349761,3,20160107,2,8,2,-1,-1.0,-1,-1,0,1,-2.0,-2.0,-2,0,1,0,0,1,3,31600.0,0.0,3,3,0,-2,51.0,-1.0,0,0,-2.0,-2,-1,6,0.0,0.0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,4
304030,1,20110726,2,9,1,2011,3.37,-1,-1,0,1,-2.0,-2.0,-2,0,0,1,1,0,1,0.0,73730.0,1,3,-2,0,23.0101,13.1001,7,0,23.0101,-2,-1,6,3.7,3.43,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,6
341906,1,20150414,2,9,1,2015,2.3,-1,-1,0,1,-2.0,-2.0,-2,0,1,1,1,0,1,0.0,58579.0,1,3,0,0,42.0101,-1.0,0,0,-2.0,-2,-1,6,2.82,3.12,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,6
309950,1,20120516,1,10,1,-1,-1.0,-1,-1,0,1,-2.0,-2.0,-2,0,1,1,0,0,1,0.0,0.0,1,3,0,1,43.0199,-1.0,0,0,-2.0,-2,-1,6,0.0,0.0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,7
310293,1,20120807,2,4,1,2010,3.05,-1,-1,0,1,-2.0,-2.0,-2,0,1,1,0,0,1,4346.0,15739.0,1,3,0,0,26.0101,-1.0,0,0,-2.0,-2,-1,6,3.25,3.15,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1
348970,1,20160426,2,1,1,2016,3.8,-1,-1,0,1,-2.0,-2.0,-2,0,1,0,0,0,1,0.0,40392.0,1,3,0,-2,50.0701,-1.0,0,0,-2.0,-2,-1,6,4.0,3.93,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,3
353755,1,20160503,2,10,1,2016,3.12,-1,-1,0,1,-2.0,-2.0,-2,0,0,0,0,0,1,0.0,52437.0,1,3,-2,-2,45.0601,-1.0,0,0,-2.0,-2,-1,6,4.0,3.86,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,4
344163,1,20150811,2,9,1,-1,3.04,-1,-1,0,1,-2.0,-2.0,-2,0,1,1,0,0,1,0.0,15000.0,1,1,1,0,52.0201,-1.0,0,0,-2.0,-2,-1,6,0.0,0.0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,1
341786,1,20150601,2,9,1,2015,3.25,-1,-1,0,1,-2.0,-2.0,-2,0,1,0,0,1,1,0.0,24588.0,1,3,0,-2,52.0801,-1.0,0,0,-2.0,-2,-1,6,3.49,3.59,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,3
325175,1,20150505,2,8,1,-1,3.68,-1,-1,0,1,-2.0,-2.0,-2,0,0,1,0,0,1,0.0,48585.0,1,6,-2,0,40.0501,-1.0,0,0,-2.0,-2,-1,6,3.7,3.27,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,1
300524,1,20110428,2,9,1,2011,2.52,-1,-1,0,1,-2.0,-2.0,-2,0,1,1,0,0,1,807.0,130752.0,1,6,0,0,45.1101,-1.0,7,0,45.1101,-2,-1,6,4.0,2.55,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,3
332198,1,20140723,1,9,1,2014,-1.0,-1,-1,0,1,-2.0,-2.0,-2,0,1,1,0,0,1,1237.0,14838.0,1,3,0,0,40.0801,-1.0,0,0,-2.0,-2,-1,6,3.3,2.29,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,1
351761,1,20160503,1,7,1,2016,3.3,-1,-1,0,1,-2.0,-2.0,-2,0,1,0,0,1,1,0.0,19884.0,1,3,0,-2,9.0101,-1.0,0,0,-2.0,-2,-1,6,3.67,3.37,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,6
356464,1,20160616,2,12,1,-1,3.1,-1,-1,0,1,-2.0,-2.0,-2,0,0,0,1,1,1,0.0,15000.0,1,3,-2,-2,40.0601,-1.0,0,0,-2.0,-2,-1,6,2.22,2.65,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,1
353688,1,20160615,2,12,1,2016,2.8,-1,-1,0,1,-2.0,-2.0,-2,0,1,0,0,1,1,0.0,66806.0,1,3,1,-2,52.0301,-1.0,0,0,-2.0,-2,-1,6,0.51,0.96,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,3
328853,1,20140616,1,4,1,2014,-1.0,-1,-1,0,1,-2.0,-2.0,-2,0,1,1,0,0,1,0.0,16978.0,1,3,0,0,43.0199,-1.0,0,0,-2.0,-2,-1,6,3.23,3.02,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,4
351913,1,20160720,2,2,1,2016,3.0,-1,-1,0,1,-2.0,-2.0,-2,0,1,0,0,1,1,0.0,33611.0,1,3,0,-2,11.0101,-1.0,0,0,-2.0,-2,-1,6,3.4,3.02,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,4
355531,1,20160728,2,10,1,2016,2.29,-1,-1,0,1,-2.0,-2.0,-2,0,1,0,0,1,1,0.0,0.0,1,3,0,-2,26.0101,-1.0,0,0,-2.0,-2,-1,6,3.65,3.17,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,4
276366,1,20140811,2,9,1,2009,2.8,-1,-1,0,1,-2.0,-2.0,-2,0,1,1,0,0,1,0.0,0.0,1,3,0,1,0.0,-1.0,0,0,-2.0,-2,-1,6,0.82,0.64,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,4
311079,1,20120711,1,2,1,2012,-1.0,-1,-1,0,1,-2.0,-2.0,-2,0,1,1,0,0,1,0.0,10940.0,1,3,1,0,52.1401,-1.0,0,0,-2.0,-2,-1,6,3.12,3.19,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1
306887,1,20120703,1,1,1,-1,-1.0,-1,-1,0,1,-2.0,-2.0,-2,0,1,1,0,1,1,0.0,20108.0,1,6,0,0,43.0199,-1.0,0,0,-2.0,-2,-1,6,4.0,2.69,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1
325825,3,20130122,2,4,1,-1,-1.0,-1,-1,0,1,-2.0,-2.0,-2,0,-1,-1,0,0,3,0.0,15000.0,3,6,-1,-1,52.0301,-1.0,0,0,-2.0,-2,-1,6,4.0,3.65,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,6
321878,1,20130805,2,12,1,-1,3.8,-1,-1,0,1,-2.0,-2.0,-2,0,0,0,0,1,1,0.0,104785.0,1,3,-2,-2,0.0,-1.0,0,0,-2.0,-2,-1,6,3.54,3.46,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,6
332201,1,20150723,2,1,1,2015,3.3,-1,-1,0,1,-2.0,-2.0,-2,0,1,0,0,1,1,8068.0,12652.0,1,3,0,-2,45.1101,-1.0,0,0,-2.0,-2,-1,6,0.0,2.73,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1
346439,1,20150410,2,6,1,-1,-1.0,-1,-1,0,1,-2.0,-2.0,-2,0,-1,-1,0,0,1,0.0,15000.0,1,1,-1,-1,-1.0,-1.0,0,0,-2.0,-2,-1,6,2.97,2.97,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,1
355922,1,20160810,1,12,1,2016,2.0,-1,-1,0,1,-2.0,-2.0,-2,0,0,0,0,1,1,0.0,15000.0,1,1,-2,-2,40.0801,-1.0,0,0,-2.0,-2,-1,6,0.0,0.0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,1
317734,3,20121210,1,11,1,-1,-1.0,-1,-1,0,1,-2.0,-2.0,-2,0,-1,-1,0,0,3,0.0,15000.0,3,3,-1,-1,51.0,-1.0,0,0,-2.0,-2,-1,6,4.0,4.0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,6
326798,1,20140708,1,10,1,-1,2.6,-1,-1,0,1,-2.0,-2.0,-2,0,1,1,0,1,1,0.0,19414.0,1,6,0,0,40.0801,-1.0,0,0,-2.0,-2,-1,6,3.7,2.8,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,6
291294,1,20110726,1,6,1,2010,2.0,-1,-1,0,1,-2.0,-2.0,-2,0,1,1,0,0,1,2805.0,0.0,1,1,0,1,0.0,-1.0,0,0,-2.0,-2,-1,6,0.0,0.0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,4
318738,1,20130716,1,5,1,2013,2.3,-1,-1,0,1,-2.0,-2.0,-2,0,1,0,0,1,1,0.0,100400.0,1,1,1,-2,13.1202,-1.0,0,0,-2.0,-2,-1,6,0.0,0.0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,1
343476,1,20150316,1,8,1,2015,3.2,-1,-1,0,1,-2.0,-2.0,-2,0,1,0,0,1,1,0.0,81222.0,1,3,0,-2,23.0101,-1.0,0,0,-2.0,-2,-1,6,2.67,2.74,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,6
355460,1,20160602,2,1,1,2016,3.14,-1,-1,0,1,-2.0,-2.0,-2,0,0,0,1,1,1,0.0,0.0,1,1,-2,-2,43.0199,-1.0,0,0,-2.0,-2,-1,6,0.0,0.0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,6
306252,1,20120621,2,7,1,2012,-1.0,-1,-1,0,1,-2.0,-2.0,-2,0,1,1,0,0,1,0.0,0.0,1,6,0,0,-1.0,-1.0,0,0,-2.0,-2,-1,6,3.0,2.45,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,1
329537,3,20140129,1,11,-1,-1,-1.0,-1,-1,0,1,-2.0,-2.0,-2,0,-1,-1,0,0,3,0.0,15000.0,3,3,-1,-1,-1.0,-1.0,0,0,-2.0,-2,-1,6,4.0,4.0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,6
326684,1,20140528,2,6,1,2014,2.8,-1,-1,0,1,-2.0,-2.0,-2,0,1,1,0,1,1,0.0,13464.0,1,3,0,0,52.0201,52.1401,0,0,-2.0,-2,-1,6,3.08,2.73,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,1
332287,1,20140609,2,11,-1,-1,-1.0,-1,-1,0,1,-2.0,-2.0,-2,0,-1,-1,0,0,1,0.0,15000.0,1,3,-1,-1,0.0,-1.0,0,0,-2.0,-2,-1,6,3.44,3.51,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,6
311012,1,20120529,1,11,1,2012,2.0,-1,-1,0,1,-2.0,-2.0,-2,0,0,1,1,0,1,0.0,121508.0,1,6,-2,0,40.0801,-1.0,0,0,-2.0,-2,-1,6,2.0,3.01,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1
358144,1,20160712,2,5,1,-1,3.3,-1,-1,0,1,-2.0,-2.0,-2,0,0,0,1,1,1,0.0,12344.0,1,3,-2,-2,11.0101,-1.0,0,0,-2.0,-2,-1,6,3.7,3.81,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,3
319734,1,20130519,1,12,1,2010,-1.0,-1,-1,0,1,-2.0,-2.0,-2,0,1,1,0,1,1,4841.0,5800.0,1,3,0,0,11.0101,-1.0,0,0,-2.0,-2,-1,6,0.5,2.12,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,6
